Date Time,Bldg,Road,City,State,Fatalities
1/4/2023 16:52,4000,S State Road 7,Davie,FL,1
3/2/2023 9:46,3400,DAVIE RD,Davie,FL,1
3/2/2023 16:39, ,N UNIVERSITY DR/MONTERRA BLVD,Davie,FL,1
3/5/2023 8:07,3200,S State Road 7,Davie,FL,1
3/24/2023 13:23,2000,S PINE ISLAND RD,Davie,FL,1
5/13/2023 4:51,4408,OAKES RD,Davie,FL,1
7/4/2023 23:25,4700,SW 51ST ST,Davie,FL,1
8/28/2023 4:04,4500,S State Road 7,Davie,FL,1
9/5/2023 22:54,2399,S PINE ISLAND RD/SW 24TH ST,Davie,FL,1
10/17/2023 0:56,4700,S State Road 7,Davie,FL,1
11/4/2023 8:22,16600,STIRLING RD,Davie,FL,1
11/10/2023 22:36,,S State Road 7/SW 45TH ST,Davie,FL,1
12/2/2023 13:22,,STIRLING RD/DAVIE RD EXT,Davie,FL,1
1/6/2022 22:01,,S FLAMINGO RD/SW 10TH CT,Davie,FL,1
2/25/2022 2:25,4300,NOB HILL RD,Davie,FL,1
3/7/2022 7:39,4601,OAKES RD,Davie,FL,1
3/16/2022 2:15,1800,S UNIVERSITY DR,Davie,FL,1
4/1/2022 5:18,5100,State Road 84 EB,Davie,FL,1
4/4/2022 3:55,2800,SW 130TH AVE,Davie,FL,1
4/5/2022 8:27,,LAKE VISTA WAY/NOB HILL RD,Davie,FL,1
4/14/2022 17:47,2600,S FLAMINGO RD,Davie,FL,1
5/26/2022 6:15,,State Road 84 EB/NOB HILL RD,Davie,FL,1
6/15/2022 7:49,2000,S FLAMINGO RD,Davie,FL,1
9/5/2022 1:14,4200,S State Road 7,Davie,FL,1
10/13/2022 0:03,5900,SW 45TH ST,Davie,FL,1
11/1/2022 10:56,,DAVIE RD/GRIFFIN RD,Davie,FL,1
11/25/2022 18:43,6600,SW 45TH ST,Davie,FL,1
1/19/2021 0:51,4800,S State Road 7,Davie,FL,1
1/24/2021 12:00,,S FLAMINGO RD/SW 20TH ST,Davie,FL,1
2/17/2021 22:02,4300,S State Road 7,Davie,FL,1
2/22/2021 16:05,,SW 136TH AVE/SW 7TH PL,Davie,FL,1
3/12/2021 17:32,5000,S PINE ISLAND RD,Davie,FL,1
3/15/2021 12:01,,State Road 84 EB/DAVIE RD,Davie,FL,1
4/5/2021 15:01,7700,NOVA DR,Davie,FL,1
4/13/2021 13:31,,S PINE ISLAND RD/SW 30TH ST,Davie,FL,1
8/31/2021 15:38,,US27/GRIFFIN RD,Davie,FL,1
10/11/2021 18:08,3410,DAVIE RD,Davie,FL,1
10/29/2021 22:39,5200,STIRLING RD,Davie,FL,1
12/7/2021 16:10,,GRIFFIN RD/DAVIE RD,Davie,FL,1
12/4/2020 19:37,,STIRLING RD/NW 77TH AVE,Davie,FL,1
12/5/2020 6:11,,DAVIE RD/GRIFFIN RD,Davie,FL,1
12/10/2020 16:47,6600,DYKES RD,Davie,FL,1
12/15/2020 19:41,,SW 24TH ST/S PINE ISLAND RD,Davie,FL,1
12/29/2020 11:54,15800,SHERIDAN ST,Davie,FL,1
2/8/2020 17:18,6775,STIRLING RD,Davie,FL,1
5/17/2020 20:45,2800,S PINE ISLAND RD,Davie,FL,1
8/11/2020 20:06,7300,GRIFFIN RD,Davie,FL,2
9/1/2020 10:36,17700,GRIFFIN RD,Davie,FL,1
11/14/2020 3:58,4151,S PINE ISLAND RD,Davie,FL,1
2/24/2019 17:07,1200,S FLAMINGO RD,Davie,FL,1
4/3/2019 18:44,,S UNIVERSITY DR/SW 36TH ST,Davie,FL,1
5/6/2019 15:33,1800,S PINE ISLAND RD,Davie,FL,1
5/15/2019 4:59,3225,State Road 84 EB,Davie,FL,1
7/26/2019 17:50,2292,S UNIVERSITY DR,Davie,FL,1
9/18/2019 8:40,1700,S UNIVERSITY DR,Davie,FL,1
10/4/2019 14:12,8161,SW 24TH CT,Davie,FL,1
11/7/2019 8:11,7700,STIRLING RD,Davie,FL,1
11/11/2019 7:21,5200,S State Road 7,Davie,FL,1
11/30/2019 1:03,4400,S State Road 7,Davie,FL,1
